"","df","category","group","variable","vtype","n","nc","prop_coherent"
"289","cases","Lab","mch","mindiff <= maxdiff","coherence",2848,2848,0.995084269662921
"290","EAC","Lab","mch","min <= mean","coherence",2076,2076,0.960500963391137
"291","EAC","Lab","mch","mean <= max","coherence",2076,2076,0.94990366088632
"292","EAC","Lab","mch","mindiff <= maxdiff","coherence",2076,2076,0.995183044315992
"293","EGJAC","Lab","mch","min <= mean","coherence",772,772,0.975388601036269
"294","EGJAC","Lab","mch","mean <= max","coherence",772,772,0.952072538860104
"295","EGJAC","Lab","mch","mindiff <= maxdiff","coherence",772,772,0.994818652849741
"296","all","Lab","mchc","min <= mean","coherence",2567069,2567069,0.9779082681455
"297","all","Lab","mchc","mean <= max","coherence",2567069,2567069,0.959724884683661
"298","all","Lab","mchc","mindiff <= maxdiff","coherence",2567069,2567069,0.982097092053233
"299","control","Lab","mchc","min <= mean","coherence",2564221,2564221,0.977894651046068
"300","control","Lab","mchc","mean <= max","coherence",2564221,2564221,0.959708231076807
"301","control","Lab","mchc","mindiff <= maxdiff","coherence",2564221,2564221,0.982089297295358
"302","cases","Lab","mchc","min <= mean","coherence",2848,2848,0.990168539325843
"303","cases","Lab","mchc","mean <= max","coherence",2848,2848,0.974719101123595
"304","cases","Lab","mchc","mindiff <= maxdiff","coherence",2848,2848,0.989115168539326
"305","EAC","Lab","mchc","min <= mean","coherence",2076,2076,0.989402697495183
"306","EAC","Lab","mchc","mean <= max","coherence",2076,2076,0.975433526011561
"307","EAC","Lab","mchc","mindiff <= maxdiff","coherence",2076,2076,0.989402697495183
"308","EGJAC","Lab","mchc","min <= mean","coherence",772,772,0.992227979274611
"309","EGJAC","Lab","mchc","mean <= max","coherence",772,772,0.97279792746114
"310","EGJAC","Lab","mchc","mindiff <= maxdiff","coherence",772,772,0.988341968911917
"311","all","Lab","mcv","min <= mean","coherence",2567069,2567069,0.952280597054462
"312","all","Lab","mcv","mean <= max","coherence",2567069,2567069,0.924196817459912
"313","all","Lab","mcv","mindiff <= maxdiff","coherence",2567069,2567069,0.980138048490321
"314","control","Lab","mcv","min <= mean","coherence",2564221,2564221,0.95226854471592
"315","control","Lab","mcv","mean <= max","coherence",2564221,2564221,0.924159813058235
"316","control","Lab","mcv","mindiff <= maxdiff","coherence",2564221,2564221,0.980132367685937
"317","cases","Lab","mcv","min <= mean","coherence",2848,2848,0.96313202247191
"318","cases","Lab","mcv","mean <= max","coherence",2848,2848,0.95751404494382
"319","cases","Lab","mcv","mindiff <= maxdiff","coherence",2848,2848,0.985252808988764
"320","EAC","Lab","mcv","min <= mean","coherence",2076,2076,0.960982658959538
"321","EAC","Lab","mcv","mean <= max","coherence",2076,2076,0.95616570327553
"322","EAC","Lab","mcv","mindiff <= maxdiff","coherence",2076,2076,0.986994219653179
"323","EGJAC","Lab","mcv","min <= mean","coherence",772,772,0.968911917098446
"324","EGJAC","Lab","mcv","mean <= max","coherence",772,772,0.961139896373057
"325","EGJAC","Lab","mcv","mindiff <= maxdiff","coherence",772,772,0.980569948186529
"326","all","Lab","mono","min <= mean","coherence",2567069,2567069,0.925936544752011
"327","all","Lab","mono","mean <= max","coherence",2567069,2567069,0.902551119584242
"328","all","Lab","mono","mindiff <= maxdiff","coherence",2567069,2567069,0.931998321821501
"329","control","Lab","mono","min <= mean","coherence",2564221,2564221,0.925924871530184
"330","control","Lab","mono","mean <= max","coherence",2564221,2564221,0.902523612434342
"331","control","Lab","mono","mindiff <= maxdiff","coherence",2564221,2564221,0.931976612000292
"332","cases","Lab","mono","min <= mean","coherence",2848,2848,0.936446629213483
"333","cases","Lab","mono","mean <= max","coherence",2848,2848,0.927317415730337
"334","cases","Lab","mono","mindiff <= maxdiff","coherence",2848,2848,0.951544943820225
"335","EAC","Lab","mono","min <= mean","coherence",2076,2076,0.932562620423892
"336","EAC","Lab","mono","mean <= max","coherence",2076,2076,0.925337186897881
"337","EAC","Lab","mono","mindiff <= maxdiff","coherence",2076,2076,0.951830443159923
"338","EGJAC","Lab","mono","min <= mean","coherence",772,772,0.946891191709845
"339","EGJAC","Lab","mono","mean <= max","coherence",772,772,0.932642487046632
"340","EGJAC","Lab","mono","mindiff <= maxdiff","coherence",772,772,0.950777202072539
