"","df","category","group","variable","vtype","n","nc","propna","mean","sd","min","q25","median","q75","max","pvalue"
"136","observed","Lab","calc","calc_mindiff","continuous",2567069,1218363,0.525387513931258,-0.0995414726740697,0.312471630969186,-10.9,-0.0133333333333333,-0.00271739130434783,-0.000819672131147543,7.36,NA
"137","observed_and_imputed","Lab","calc","calc_mindiff","continuous",2567069,2567069,0,-0.0551800462503747,0.226659623042417,-10.9,-0.00601503759398495,-0.00204081632653061,-0.000733944954128441,7.36,0
"138","imputed","Lab","calc","calc_mindiff","continuous",2567069,1348706,0.474612486068742,-0.0151058413592773,0.0787279054960463,-3.5,-0.00384615384615386,-0.00167597765363128,-0.000666666666666664,0.699999999999999,0
"139","observed","Lab","calc","calc_tv","continuous",2567069,1218363,0.525387513931258,0.0238105886603835,0.0687489873893645,0,0.000970177374403443,0.00215618587346336,0.00735284735350188,8.8,NA
"140","observed_and_imputed","Lab","calc","calc_tv","continuous",2567069,2567069,0,0.0155230259598621,0.0522340271763764,0,0.000854268969650933,0.00173344430814439,0.00438929628571254,8.8,0
"141","imputed","Lab","calc","calc_tv","continuous",2567069,1348706,0.474612486068742,0.00803639821853431,0.0283789728571484,0,0.000785820899484401,0.00149730278828639,0.00312499999999999,2.62443410852713,0
"142","observed","Comorbidities","cd","cd","binary",2567069,2174591,0.152889540561629,0.0736152223567557,0.261143739642607,0,0,0,0,1,NA
"143","observed_and_imputed","Comorbidities","cd","cd","binary",2567069,2567069,0,0.0697752962620015,0.254767991666778,0,0,0,0,1,8.671821410828e-59
"144","imputed","Comorbidities","cd","cd","binary",2567069,392478,0.847110459438371,0.048499533731827,0.214819567403263,0,0,0,0,1,0
"145","observed","Comorbidities","chf","chf","binary",2567069,2174591,0.152889540561629,0.0587126498730108,0.235086154488317,0,0,0,0,1,NA
"146","observed_and_imputed","Comorbidities","chf","chf","binary",2567069,2567069,0,0.0541091805479321,0.22623305918022,0,0,0,0,1,2.88625534003633e-104
"147","imputed","Comorbidities","chf","chf","binary",2567069,392478,0.847110459438371,0.0286028771039396,0.166687801949163,0,0,0,0,1,0
"148","observed","Lab","chlor","chlor_max","continuous",2567069,1620643,0.368679610871387,105.87688346539,3.38900225266253,1.3,104,106,108,160,NA
"149","observed_and_imputed","Lab","chlor","chlor_max","continuous",2567069,2567069,0,105.726909296166,3.08076319425033,1.3,104,106,107.7,160,0
"150","imputed","Lab","chlor","chlor_max","continuous",2567069,946426,0.631320389128613,105.470096204035,2.44371654492946,87,104,105,107,130,0
"151","observed","Lab","chlor","chlor_maxdiff","continuous",2567069,1336311,0.47944094997057,0.660000040546959,2.1054420217719,-11,0.00563380281690141,0.0204081632653061,0.1,106.8,NA
"152","observed_and_imputed","Lab","chlor","chlor_maxdiff","continuous",2567069,2567069,0,0.385997878851337,1.57745061348106,-11,0.00544959128065395,0.0155172413793104,0.0476190476190476,106.8,0
"153","imputed","Lab","chlor","chlor_maxdiff","continuous",2567069,1230758,0.52055905002943,0.0884965807101597,0.455000077641426,-1.5,0.00529100529100529,0.0125391849529781,0.0287081339712919,23,0
"154","observed","Lab","chlor","chlor_mean","continuous",2567069,1620643,0.368679610871387,103.572117649402,2.9959357541217,1.3,102,103.777777777778,105.4,143,NA
