"","df","category","group","variable","vtype","n","nc","prop_coherent"
"311","imputed_controls","Lab","na","mean <= max","coherence",2564221,930978,0.922106644840157
"312","imputed_controls","Lab","na","mindiff <= maxdiff","coherence",2564221,1212774,0.969972971056438
"313","imputed_controls","Lab","baso","min <= mean","coherence",2564221,1357361,0.918425533074842
"314","imputed_controls","Lab","baso","mean <= max","coherence",2564221,1357361,0.838363559878323
"315","imputed_controls","Lab","baso","mindiff <= maxdiff","coherence",2564221,1671277,0.842489306081517
"316","imputed_controls","Lab","eos","min <= mean","coherence",2564221,1314731,0.824452302410151
"317","imputed_controls","Lab","eos","mean <= max","coherence",2564221,1314731,0.794552649933713
"318","imputed_controls","Lab","eos","mindiff <= maxdiff","coherence",2564221,1635541,0.894765096075244
"319","imputed_controls","Lab","hct","min <= mean","coherence",2564221,964735,0.909492243984099
"320","imputed_controls","Lab","hct","mean <= max","coherence",2564221,964735,0.887327608099634
"321","imputed_controls","Lab","hct","mindiff <= maxdiff","coherence",2564221,1308982,0.962434930350456
"322","imputed_controls","Lab","lymph","min <= mean","coherence",2564221,1322131,0.82196998633267
"323","imputed_controls","Lab","lymph","mean <= max","coherence",2564221,1322131,0.838027396680057
"324","imputed_controls","Lab","lymph","mindiff <= maxdiff","coherence",2564221,1639906,0.908769770950286
"325","imputed_controls","Lab","mch","min <= mean","coherence",2564221,962105,0.872488969499171
"326","imputed_controls","Lab","mch","mean <= max","coherence",2564221,962105,0.811401042505756
"327","imputed_controls","Lab","mch","mindiff <= maxdiff","coherence",2564221,1301955,0.975024482412987
"328","imputed_controls","Lab","mchc","min <= mean","coherence",2564221,1001690,0.94341263265082
"329","imputed_controls","Lab","mchc","mean <= max","coherence",2564221,1001690,0.896857311144166
"330","imputed_controls","Lab","mchc","mindiff <= maxdiff","coherence",2564221,1339235,0.965706541421035
"331","imputed_controls","Lab","mcv","min <= mean","coherence",2564221,978327,0.874894590459018
"332","imputed_controls","Lab","mcv","mean <= max","coherence",2564221,978327,0.801220859692107
"333","imputed_controls","Lab","mcv","mindiff <= maxdiff","coherence",2564221,1323868,0.9615180667559
"334","imputed_controls","Lab","mono","min <= mean","coherence",2564221,1375248,0.861883093085756
"335","imputed_controls","Lab","mono","mean <= max","coherence",2564221,1375248,0.818250235593871
"336","imputed_controls","Lab","mono","mindiff <= maxdiff","coherence",2564221,1684193,0.896432891004772
"337","imputed_controls","Lab","mpv","min <= mean","coherence",2564221,1268799,0.849467882619706
"338","imputed_controls","Lab","mpv","mean <= max","coherence",2564221,1268799,0.825221331353508
"339","imputed_controls","Lab","mpv","mindiff <= maxdiff","coherence",2564221,1560150,0.945625741114636
"340","imputed_controls","Lab","neut","min <= mean","coherence",2564221,1463190,0.832951974794798
"341","imputed_controls","Lab","neut","mean <= max","coherence",2564221,1463190,0.846563330804612
"342","imputed_controls","Lab","neut","mindiff <= maxdiff","coherence",2564221,1757747,0.88644213302597
"343","imputed_controls","Lab","platelet","min <= mean","coherence",2564221,958053,0.874935937782148
"344","imputed_controls","Lab","platelet","mean <= max","coherence",2564221,958053,0.878766623558404
