"","df","category","group","variable","vtype","n","nc","prop_coherent"
"246","test_cohort_raw","Lab","mpv","mindiff <= maxdiff","coherence",2567069,806423,1
"247","test_cohort_raw","Lab","neut","min <= mean","coherence",2567069,965120,1
"248","test_cohort_raw","Lab","neut","mean <= max","coherence",2567069,965120,1
"249","test_cohort_raw","Lab","neut","mindiff <= maxdiff","coherence",2567069,627219,1
"250","test_cohort_raw","Lab","platelet","min <= mean","coherence",2567069,1470127,1
"251","test_cohort_raw","Lab","platelet","mean <= max","coherence",2567069,1470127,1
"252","test_cohort_raw","Lab","platelet","mindiff <= maxdiff","coherence",2567069,1019197,1
"253","test_cohort_raw","Lab","wbc","min <= mean","coherence",2567069,1471934,1
"254","test_cohort_raw","Lab","wbc","mean <= max","coherence",2567069,1471934,1
"255","test_cohort_raw","Lab","wbc","mindiff <= maxdiff","coherence",2567069,1022085,1
"256","test_cohort_raw","Lab","crp","min <= mean","coherence",2567069,82127,1
"257","test_cohort_raw","Lab","crp","mean <= max","coherence",2567069,82127,1
"258","test_cohort_raw","Lab","crp","mindiff <= maxdiff","coherence",2567069,23134,1
"259","test_cohort_raw","Lab","alkphos","min <= mean","coherence",2567069,1410249,1
"260","test_cohort_raw","Lab","alkphos","mean <= max","coherence",2567069,1410249,1
"261","test_cohort_raw","Lab","alkphos","mindiff <= maxdiff","coherence",2567069,1005078,1
"262","test_cohort_raw","Lab","alt","min <= mean","coherence",2567069,1490746,1
"263","test_cohort_raw","Lab","alt","mean <= max","coherence",2567069,1490746,1
"264","test_cohort_raw","Lab","alt","mindiff <= maxdiff","coherence",2567069,1096817,1
"265","test_cohort_raw","Lab","ast","min <= mean","coherence",2567069,1464030,1
"266","test_cohort_raw","Lab","ast","mean <= max","coherence",2567069,1464030,1
"267","test_cohort_raw","Lab","ast","mindiff <= maxdiff","coherence",2567069,1068516,1
"268","test_cohort_raw","Lab","totprot","min <= mean","coherence",2567069,1208866,1
"269","test_cohort_raw","Lab","totprot","mean <= max","coherence",2567069,1208866,1
"270","test_cohort_raw","Lab","totprot","mindiff <= maxdiff","coherence",2567069,837789,1
"271","test_cohort_raw","Lab","hdl","min <= mean","coherence",2567069,1435802,1
"272","test_cohort_raw","Lab","hdl","mean <= max","coherence",2567069,1435802,1
"273","test_cohort_raw","Lab","hdl","mindiff <= maxdiff","coherence",2567069,987024,1
"274","test_cohort_raw","Lab","ldl","min <= mean","coherence",2567069,1435748,1
"275","test_cohort_raw","Lab","ldl","mean <= max","coherence",2567069,1435748,1
"276","test_cohort_raw","Lab","ldl","mindiff <= maxdiff","coherence",2567069,984426,1
"277","test_cohort_raw","Lab","trig","min <= mean","coherence",2567069,1447296,1
"278","test_cohort_raw","Lab","trig","mean <= max","coherence",2567069,1447296,1
"279","test_cohort_raw","Lab","trig","mindiff <= maxdiff","coherence",2567069,998004,1
"280","test_cohort_imputed","Demographic","race","At most 1","coherence",2567069,2567069,0.997621022263134
"281","test_cohort_imputed","Demographic","smoke","At most 1","coherence",2567069,2567069,0.921911331561403
"282","test_cohort_imputed","Medication","h2r","mean <= max","coherence",2567069,2567069,0.858613461500256
"283","test_cohort_imputed","Medication","h2r","maxdiff <= max","coherence",2567069,2567069,0.973658284993508
"284","test_cohort_imputed","Medication","ppi","mean <= max","coherence",2567069,2567069,0.845781706685718
"285","test_cohort_imputed","Medication","ppi","maxdiff <= max","coherence",2567069,2567069,0.95686715082454
"286","test_cohort_imputed","Lab","a1c","min <= mean","coherence",2567069,2567069,0.735429004830022
"287","test_cohort_imputed","Lab","a1c","mean <= max","coherence",2567069,2567069,0.717247179565489
"288","test_cohort_imputed","Lab","a1c","mindiff <= maxdiff","coherence",2567069,2567069,0.923554450620533
"289","test_cohort_imputed","Lab","bun","min <= mean","coherence",2567069,2567069,0.868357648353044
"290","test_cohort_imputed","Lab","bun","mean <= max","coherence",2567069,2567069,0.857462343240482
"291","test_cohort_imputed","Lab","bun","mindiff <= maxdiff","coherence",2567069,2567069,0.975186487001323
"292","test_cohort_imputed","Lab","calc","min <= mean","coherence",2567069,2567069,0.863221830032617
"293","test_cohort_imputed","Lab","calc","mean <= max","coherence",2567069,2567069,0.871641549175344
"294","test_cohort_imputed","Lab","calc","mindiff <= maxdiff","coherence",2567069,2567069,0.969183142330806
"295","test_cohort_imputed","Lab","chlor","min <= mean","coherence",2567069,2567069,0.880307073943084
"296","test_cohort_imputed","Lab","chlor","mean <= max","coherence",2567069,2567069,0.885920869287113
"297","test_cohort_imputed","Lab","chlor","mindiff <= maxdiff","coherence",2567069,2567069,0.975184539254691
"298","test_cohort_imputed","Lab","co2","min <= mean","coherence",2567069,2567069,0.882402459770267
"299","test_cohort_imputed","Lab","co2","mean <= max","coherence",2567069,2567069,0.887038096755483
"300","test_cohort_imputed","Lab","co2","mindiff <= maxdiff","coherence",2567069,2567069,0.975592786948851
"301","test_cohort_imputed","Lab","creat","min <= mean","coherence",2567069,2567069,0.855824677871923
"302","test_cohort_imputed","Lab","creat","mean <= max","coherence",2567069,2567069,0.85156261869081
"303","test_cohort_imputed","Lab","creat","mindiff <= maxdiff","coherence",2567069,2567069,0.976965169226071
"304","test_cohort_imputed","Lab","gluc","min <= mean","coherence",2567069,2567069,0.887857318989088
"305","test_cohort_imputed","Lab","gluc","mean <= max","coherence",2567069,2567069,0.851813488457069
"306","test_cohort_imputed","Lab","gluc","mindiff <= maxdiff","coherence",2567069,2567069,0.971716771150289
"307","test_cohort_imputed","Lab","k","min <= mean","coherence",2567069,2567069,0.891160697277712
"308","test_cohort_imputed","Lab","k","mean <= max","coherence",2567069,2567069,0.889172827064641
"309","test_cohort_imputed","Lab","k","mindiff <= maxdiff","coherence",2567069,2567069,0.976378897489705
"310","test_cohort_imputed","Lab","na","min <= mean","coherence",2567069,2567069,0.889815973002673
"311","test_cohort_imputed","Lab","na","mean <= max","coherence",2567069,2567069,0.897522037779273
"312","test_cohort_imputed","Lab","na","mindiff <= maxdiff","coherence",2567069,2567069,0.976359809572707
"313","test_cohort_imputed","Lab","baso","min <= mean","coherence",2567069,2567069,0.868894447324945
"314","test_cohort_imputed","Lab","baso","mean <= max","coherence",2567069,2567069,0.793796349065802
